Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
20,978.64,717.36,961.78,714.88,960.36,716.39,958.87,717.98,962.0,715.54,960.91,717.28,959.71,719.11,952.42,737.02,953.51,737.75,985.43,732.37,985.18,732.81,995.38,796.62,1018.25,793.18,1094.12,805.65,1124.55,786.96,1182.3,785.58,1213.64,767.69,1208.27,776.99,1237.56,763.11,1213.48,776.8,1237.47,760.06,1204.77,781.64,1230.93,762.9,1171.04,895.91,1180.58,913.35,1307.45,848.41,1329.33,854.22,1449.49,870.77,1500.78,882.15,1472.15,884.44,1526.46,901.93,1481.71,802.21,1524.88,809.76
21,978.64,717.67,961.76,715.21,960.35,716.71,958.86,718.28,961.98,715.9,960.88,717.63,959.69,719.46,952.41,737.34,953.5,738.12,985.44,732.65,985.19,733.15,995.3,797.11,1018.19,793.67,1090.79,808.69,1123.97,787.67,1177.74,787.35,1213.63,767.9,1202.51,778.91,1237.56,763.38,1208.53,778.25,1237.47,760.13,1201.2,782.69,1230.93,762.95,1171.04,896.29,1180.58,913.62,1307.44,848.83,1329.34,854.28,1449.48,870.8,1500.87,882.15,1472.23,884.44,1526.48,902.01,1481.7,802.73,1525.03,809.82
22,978.64,717.9,961.74,715.41,960.33,716.9,958.85,718.47,961.96,716.08,960.87,717.82,959.67,719.64,952.4,737.59,953.49,738.38,985.47,732.89,985.19,733.44,995.04,797.45,1018.01,793.75,1088.42,811.94,1123.05,788.27,1170.11,799.52,1213.64,768.54,1197.28,791.05,1237.81,765.08,1196.92,793.77,1237.79,761.42,1192.57,795.49,1231.06,764.03,1170.98,896.5,1180.56,913.87,1307.36,849.06,1329.33,854.34,1449.48,870.8,1501.0,882.2,1472.29,884.43,1526.49,902.12,1481.82,802.99,1525.3,809.96
23,978.66,718.42,961.73,715.78,960.33,717.27,958.84,718.83,961.96,716.4,960.86,718.1,959.67,719.88,952.39,737.92,953.49,738.59,985.52,733.35,985.22,733.9,994.1,798.17,1017.48,793.64,1086.09,813.77,1121.45,788.82,1164.88,803.67,1212.92,769.86,1193.5,794.66,1237.43,767.03,1192.47,796.28,1237.54,762.83,1188.34,796.74,1230.61,765.39,1170.6,897.02,1180.52,913.98,1307.05,849.26,1329.28,854.46,1449.37,870.8,1501.0,882.23,1472.29,884.36,1526.47,902.17,1481.91,802.93,1525.33,809.95
24,978.65,718.74,961.67,716.12,960.27,717.61,958.79,719.17,961.9,716.72,960.81,718.41,959.62,720.18,952.34,738.27,953.47,738.87,985.53,733.56,985.22,734.14,993.43,798.61,1016.15,793.64,1085.3,814.96,1120.15,789.94,1164.22,804.32,1212.76,771.23,1193.91,796.21,1237.43,768.8,1192.96,797.21,1237.57,764.58,1188.9,797.65,1230.59,767.18,1170.16,897.11,1180.24,914.11,1306.6,849.25,1329.08,854.72,1449.06,870.83,1501.03,882.25,1471.94,884.39,1526.47,902.18,1481.97,802.91,1525.46,809.96
25,978.32,718.77,961.32,716.35,959.95,717.83,958.52,719.37,961.53,717.05,960.45,718.78,959.27,720.58,952.22,738.45,953.23,739.21,985.41,733.57,985.03,734.17,993.44,798.27,1014.41,794.56,1085.42,814.48,1119.09,792.25,1165.11,803.52,1212.12,773.82,1193.95,797.93,1237.36,771.21,1196.22,794.53,1237.52,766.36,1189.04,798.39,1230.15,769.33,1170.12,896.89,1180.06,914.56,1306.42,849.23,1328.88,855.39,1448.92,870.83,1501.04,882.32,1471.67,884.39,1526.46,902.21,1482.02,802.86,1525.68,810.14
26,978.31,718.85,961.28,716.71,959.91,718.2,958.49,719.75,961.46,717.4,960.35,719.14,959.16,720.93,952.18,738.77,953.06,739.62,985.41,733.6,985.0,734.22,993.82,797.81,1012.22,795.05,1085.57,814.31,1117.56,794.77,1170.5,802.46,1211.85,776.4,1199.14,795.68,1237.36,774.31,1204.82,793.18,1237.54,768.93,1193.7,799.12,1230.12,771.71,1170.05,896.86,1179.07,914.79,1305.46,848.98,1328.38,855.86,1448.24,870.83,1500.91,882.34,1470.81,884.44,1526.22,902.21,1481.97,802.85,1525.8,810.33
27,978.19,719.22,961.15,717.53,959.8,718.97,958.4,720.44,961.26,718.25,960.13,719.97,958.91,721.75,952.07,739.16,952.68,740.37,985.3,733.69,984.74,734.39,994.63,797.72,1009.87,795.24,1086.77,814.62,1116.68,796.48,1174.84,801.7,1211.66,779.03,1201.75,794.41,1237.32,776.57,1209.83,792.29,1237.53,771.37,1196.08,798.29,1230.0,773.88,1170.09,897.07,1178.29,915.14,1304.76,848.75,1328.23,856.93,1448.14,870.62,1500.7,882.34,1470.75,884.32,1526.03,902.21,1481.91,802.79,1525.8,810.37
28,978.0,719.55,961.0,718.2,959.69,719.58,958.32,720.99,960.99,719.04,959.82,720.81,958.56,722.64,951.96,739.51,952.1,741.43,985.12,733.82,984.41,734.68,995.84,797.01,1008.41,795.78,1088.73,813.71,1116.08,799.65,1176.55,798.73,1210.72,782.09,1202.97,794.07,1237.23,780.31,1210.38,791.78,1237.53,774.4,1198.95,795.52,1229.73,776.37,1170.18,897.16,1177.5,915.41,1303.63,848.05,1328.23,859.06,1448.12,870.38,1500.66,882.45,1470.75,884.17,1526.03,902.34,1481.9,802.74,1525.87,810.46
29,977.9,719.65,960.89,718.42,959.59,719.73,958.24,721.09,960.77,719.54,959.54,721.44,958.23,723.41,951.87,739.51,951.63,742.15,985.04,733.81,984.21,734.76,998.05,792.3,1007.24,798.44,1090.66,810.23,1117.19,806.03,1178.19,794.14,1211.19,784.3,1204.59,788.52,1238.29,782.58,1211.44,786.35,1238.14,776.3,1200.96,790.1,1230.43,777.78,1170.33,895.94,1176.42,916.18,1303.13,846.99,1328.22,861.09,1448.16,869.64,1500.38,882.66,1471.48,883.95,1525.98,902.67,1481.82,802.14,1525.88,810.47
