Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
20,236.47,206.99,241.97,196.96,241.39,196.09,240.65,195.02,241.44,196.72,240.64,195.87,239.71,194.86,228.31,188.22,226.36,188.17,226.13,210.11,225.43,209.75,182.95,208.0,186.71,218.63,170.81,269.32,172.61,296.04,176.96,319.42,183.91,359.34,179.63,333.53,185.22,373.28,182.87,336.63,187.84,373.12,180.15,332.39,186.53,369.14,112.09,313.46,101.89,319.97,136.67,405.5,129.78,428.07,128.54,494.51,113.23,530.65,122.5,499.68,101.34,544.53,166.46,510.76,153.18,540.24
21,236.34,207.04,241.86,197.05,241.28,196.19,240.54,195.12,241.34,196.8,240.55,195.93,239.63,194.91,228.21,188.3,226.19,188.19,226.01,210.17,225.3,209.81,182.9,208.02,186.7,218.63,170.84,269.35,172.53,295.89,176.96,319.36,183.83,359.35,179.63,333.64,185.14,373.23,182.91,336.66,187.8,373.06,180.15,332.41,186.51,369.13,112.03,313.46,101.78,319.93,136.84,405.42,129.7,428.04,128.52,494.54,113.19,530.63,122.48,499.69,101.19,544.54,166.46,510.86,153.18,540.24
22,236.2,207.11,241.74,197.15,241.17,196.29,240.43,195.23,241.23,196.88,240.45,196.0,239.53,194.96,228.11,188.39,226.01,188.22,225.88,210.23,225.15,209.87,182.89,208.08,186.69,218.62,170.86,269.37,172.46,295.85,176.95,319.38,183.73,359.54,179.63,333.78,185.09,373.23,182.95,336.76,187.78,373.08,180.15,332.5,186.49,369.12,111.92,313.45,101.65,319.88,136.95,405.31,129.67,428.0,128.43,494.56,113.18,530.62,122.42,499.71,101.08,544.59,166.47,510.87,153.22,540.32
23,236.05,207.18,241.63,197.24,241.06,196.39,240.33,195.33,241.12,196.95,240.35,196.07,239.44,195.01,228.01,188.46,225.85,188.24,225.75,210.31,225.0,209.94,182.89,208.12,186.68,218.62,170.9,269.42,172.38,295.84,176.94,319.37,183.68,360.08,179.64,333.87,185.09,373.33,183.02,336.82,187.78,373.2,180.16,332.56,186.49,369.21,111.9,313.44,101.56,319.83,137.07,405.26,129.66,427.92,128.35,494.55,113.17,530.61,122.35,499.73,100.98,544.62,166.55,510.88,153.25,540.54
24,235.85,207.23,241.43,197.31,240.87,196.47,240.14,195.41,240.93,197.0,240.16,196.11,239.25,195.05,227.89,188.57,225.67,188.26,225.56,210.38,224.81,210.0,182.86,208.27,186.69,218.62,170.91,269.48,172.27,295.84,176.9,319.5,183.61,360.36,179.62,334.09,185.06,373.39,183.02,337.0,187.77,373.27,180.14,332.71,186.48,369.25,111.82,313.44,101.56,319.83,137.12,405.16,129.64,427.91,127.99,494.5,113.16,530.6,122.1,499.78,100.84,544.7,166.54,510.84,153.35,540.72
25,235.62,207.25,241.21,197.37,240.65,196.53,239.95,195.49,240.69,197.03,239.91,196.13,238.98,195.06,227.81,188.71,225.44,188.27,225.34,210.41,224.55,210.01,182.86,208.54,186.68,218.5,170.92,269.5,172.06,295.63,176.88,319.47,183.48,360.36,179.6,334.04,184.93,373.35,183.01,336.89,187.65,373.25,180.11,332.64,186.39,369.19,111.7,313.43,101.52,319.82,137.23,404.87,129.58,427.89,127.72,494.41,113.15,530.6,121.79,499.85,100.68,544.82,166.52,510.8,153.41,540.89
26,235.41,207.25,241.03,197.4,240.48,196.58,239.79,195.55,240.46,197.04,239.66,196.13,238.7,195.06,227.7,188.79,225.17,188.28,225.12,210.43,224.3,210.02,182.9,208.8,186.66,218.34,171.01,269.49,171.83,295.44,176.81,319.29,183.3,360.24,179.51,333.8,184.72,373.29,182.96,336.71,187.45,373.2,180.13,330.3,186.23,368.98,111.68,313.43,101.48,319.79,137.55,404.25,129.54,427.6,127.43,494.21,113.14,530.6,121.3,499.96,100.56,544.98,166.5,510.69,153.56,541.01
27,235.35,207.26,241.01,197.42,240.47,196.6,239.78,195.59,240.41,197.05,239.58,196.13,238.61,195.06,227.67,188.81,225.03,188.28,225.03,210.43,224.17,210.02,183.23,209.06,186.52,218.29,171.21,269.53,171.57,295.48,176.8,319.31,183.07,360.23,179.5,333.78,184.5,373.33,182.93,336.71,187.26,373.2,180.07,330.92,186.08,368.96,111.77,313.44,101.4,319.76,137.72,403.95,129.5,427.12,127.27,494.15,113.14,530.59,120.75,500.19,100.49,545.04,166.5,510.69,153.68,541.22
28,235.33,207.26,241.0,197.43,240.46,196.62,239.77,195.6,240.4,197.06,239.57,196.14,238.58,195.06,227.65,188.82,225.01,188.28,225.0,210.44,224.13,210.02,183.51,209.71,186.44,218.29,171.41,269.92,171.47,295.64,176.81,319.81,182.81,360.21,180.24,335.65,184.19,373.36,182.92,337.25,186.96,373.21,180.42,333.82,185.86,368.89,111.77,313.52,101.36,319.75,137.86,403.75,129.41,426.98,127.15,493.69,113.14,530.59,120.38,500.29,100.43,545.1,166.47,510.68,153.81,541.32
29,235.32,207.26,240.99,197.45,240.45,196.64,239.77,195.62,240.37,197.07,239.53,196.15,238.54,195.07,227.63,188.84,224.91,188.29,225.0,210.45,224.1,210.02,183.85,210.3,186.29,218.3,171.77,270.29,171.38,295.81,176.87,320.24,182.55,360.12,180.75,336.42,183.96,373.36,182.91,337.45,186.74,373.21,180.4,333.83,185.67,368.8,111.77,313.63,101.2,319.76,138.06,403.55,129.3,426.92,127.09,493.58,113.14,530.6,120.15,500.52,100.39,545.18,166.42,510.68,153.78,547.62
